[27-Apr-2016 07:14:42 UTC] PHP Parse error:  syntax error, unexpected '0' (T_LNUMBER), expecting ')' in /home/ubuntu/workspace/php/getloc.php on line 31
[27-Apr-2016 07:14:43 UTC] PHP Parse error:  syntax error, unexpected '0' (T_LNUMBER), expecting ')' in /home/ubuntu/workspace/php/getloc.php on line 31
[27-Apr-2016 07:14:56 UTC] PHP Parse error:  syntax error, unexpected '0' (T_LNUMBER), expecting ')' in /home/ubuntu/workspace/php/getloc.php on line 31
[27-Apr-2016 07:15:05 UTC] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) in /home/ubuntu/workspace/php/getloc.php on line 44
[27-Apr-2016 07:15:08 UTC] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) in /home/ubuntu/workspace/php/getloc.php on line 44
[27-Apr-2016 07:15:44 UTC] PHP Parse error:  syntax error, unexpected '$str' (T_VARIABLE), expecting function (T_FUNCTION) in /home/ubuntu/workspace/php/getloc.php on line 44
[27-Apr-2016 07:15:45 UTC] PHP Parse error:  syntax error, unexpected '$str' (T_VARIABLE), expecting function (T_FUNCTION) in /home/ubuntu/workspace/php/getloc.php on line 44
[27-Apr-2016 07:16:12 UTC] PHP Parse error:  syntax error, unexpected '$str' (T_VARIABLE), expecting function (T_FUNCTION) in /home/ubuntu/workspace/php/getloc.php on line 44
[27-Apr-2016 07:16:13 UTC] PHP Parse error:  syntax error, unexpected '$str' (T_VARIABLE), expecting function (T_FUNCTION) in /home/ubuntu/workspace/php/getloc.php on line 44
[27-Apr-2016 07:16:54 UTC] PHP Parse error:  syntax error, unexpected '$str' (T_VARIABLE), expecting function (T_FUNCTION) in /home/ubuntu/workspace/php/getloc.php on line 44
[27-Apr-2016 07:16:55 UTC] PHP Parse error:  syntax error, unexpected '$str' (T_VARIABLE), expecting function (T_FUNCTION) in /home/ubuntu/workspace/php/getloc.php on line 44
